cluster_main_word,coref_word,cosine_simil,cluster_words_pos,joke,id_joke,semantic_shift_word,automatic_semantic_shift_joke,primechanye
one,the first woman,tensor(0.5455),"[[17, 17], [45, 47]]",[CLS] three american indian women in the wild west are about to give birth . one is lying on a buffalo skin ; one is lying on a moose skin ; and one is lying on a hip pop ota mus skin . the first woman gives birth to a boy . the second gives birth to a girl . and the third gives birth to a boy and a girl . and this proves . . . the sq ua w of the hide of the hip pop ota mus is equal to the sum of the sq ua ws of the other two hides ! [SEP],0,no,yes,
one,the second,tensor(0.4792),"[[25, 25], [54, 55]]",[CLS] three american indian women in the wild west are about to give birth . one is lying on a buffalo skin ; one is lying on a moose skin ; and one is lying on a hip pop ota mus skin . the first woman gives birth to a boy . the second gives birth to a girl . and the third gives birth to a boy and a girl . and this proves . . . the sq ua w of the hide of the hip pop ota mus is equal to the sum of the sq ua ws of the other two hides ! [SEP],0,no,yes,
one,the third,tensor(0.4987),"[[34, 34], [63, 64]]",[CLS] three american indian women in the wild west are about to give birth . one is lying on a buffalo skin ; one is lying on a moose skin ; and one is lying on a hip pop ota mus skin . the first woman gives birth to a boy . the second gives birth to a girl . and the third gives birth to a boy and a girl . and this proves . . . the sq ua w of the hide of the hip pop ota mus is equal to the sum of the sq ua ws of the other two hides ! [SEP],0,no,yes,
a hip pop ota mus skin,the hide of the hip pop ota mus,tensor(0.7297),"[[38, 43], [85, 92]]",[CLS] three american indian women in the wild west are about to give birth . one is lying on a buffalo skin ; one is lying on a moose skin ; and one is lying on a hip pop ota mus skin . the first woman gives birth to a boy . the second gives birth to a girl . and the third gives birth to a boy and a girl . and this proves . . . the sq ua w of the hide of the hip pop ota mus is equal to the sum of the sq ua ws of the other two hides ! [SEP],0,yes,yes,"Связь с семантическим сдвигом здесь косвенная (правильно была выделена часть выражения), сдвиг в выражениях со словом squaw. Надо сопоставлять выражения."
hip pop ota mus,the hip pop ota mus,tensor(0.6563),"[[39, 42], [88, 92]]",[CLS] three american indian women in the wild west are about to give birth . one is lying on a buffalo skin ; one is lying on a moose skin ; and one is lying on a hip pop ota mus skin . the first woman gives birth to a boy . the second gives birth to a girl . and the third gives birth to a boy and a girl . and this proves . . . the sq ua w of the hide of the hip pop ota mus is equal to the sum of the sq ua ws of the other two hides ! [SEP],0,yes,yes,
sally,you,tensor(0.3947),"[[3, 3], [6, 6], [24, 24], [27, 27], [44, 44]]","[CLS] sally , can you spell water for me ? the teacher asked . h i j k l m n answered sally promptly . her teacher look puzzled . that doesn ' t spell water ? sure it does , said sally . it ' s all the letters from h to o ? [SEP]",1,no,yes,
sally,sally,tensor(0.2659),"[[3, 3], [6, 6], [24, 24], [27, 27], [44, 44]]","[CLS] sally , can you spell water for me ? the teacher asked . h i j k l m n answered sally promptly . her teacher look puzzled . that doesn ' t spell water ? sure it does , said sally . it ' s all the letters from h to o ? [SEP]",1,no,yes,
sally,her,tensor(0.2657),"[[3, 3], [6, 6], [24, 24], [27, 27], [44, 44]]","[CLS] sally , can you spell water for me ? the teacher asked . h i j k l m n answered sally promptly . her teacher look puzzled . that doesn ' t spell water ? sure it does , said sally . it ' s all the letters from h to o ? [SEP]",1,no,yes,
sally,sally,tensor(0.4132),"[[3, 3], [6, 6], [24, 24], [27, 27], [44, 44]]","[CLS] sally , can you spell water for me ? the teacher asked . h i j k l m n answered sally promptly . her teacher look puzzled . that doesn ' t spell water ? sure it does , said sally . it ' s all the letters from h to o ? [SEP]",1,no,yes,
me,the teacher,tensor(0.5166),"[[10, 10], [12, 13], [27, 28]]","[CLS] sally , can you spell water for me ? the teacher asked . h i j k l m n answered sally promptly . her teacher look puzzled . that doesn ' t spell water ? sure it does , said sally . it ' s all the letters from h to o ? [SEP]",1,no,yes,
me,her teacher,tensor(0.4601),"[[10, 10], [12, 13], [27, 28]]","[CLS] sally , can you spell water for me ? the teacher asked . h i j k l m n answered sally promptly . her teacher look puzzled . that doesn ' t spell water ? sure it does , said sally . it ' s all the letters from h to o ? [SEP]",1,no,yes,
that,it,tensor(0.0474),"[[32, 32], [40, 40], [46, 46]]","[CLS] sally , can you spell water for me ? the teacher asked . h i j k l m n answered sally promptly . her teacher look puzzled . that doesn ' t spell water ? sure it does , said sally . it ' s all the letters from h to o ? [SEP]",1,yes,yes,"связь с семантическим сдвигом прямая  (правильно выделены все слова), но… не хватает как-будто контекста все равно."
that,it,tensor(0.0375),"[[32, 32], [40, 40], [46, 46]]","[CLS] sally , can you spell water for me ? the teacher asked . h i j k l m n answered sally promptly . her teacher look puzzled . that doesn ' t spell water ? sure it does , said sally . it ' s all the letters from h to o ? [SEP]",1,yes,yes,
they,they,tensor(0.4952),"[[20, 20], [31, 31]]","[CLS] george howard , the man famous for writing the ho key polk y died last week . they had a horrible time at the funeral parlor , first they put his left leg in . . . . [SEP]",2,yes,yes,
sadie husband jake,his,tensor(0.4117),"[[3, 5], [20, 20], [25, 25], [34, 34], [45, 45], [48, 48], [55, 55], [63, 63], [72, 72], [75, 75], [84, 84], [91, 91], [102, 102], [106, 106], [115, 115], [133, 133]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
sadie husband jake,his,tensor(0.3843),"[[3, 5], [20, 20], [25, 25], [34, 34], [45, 45], [48, 48], [55, 55], [63, 63], [72, 72], [75, 75], [84, 84], [91, 91], [102, 102], [106, 106], [115, 115], [133, 133]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
sadie husband jake,jake,tensor(0.3936),"[[3, 5], [20, 20], [25, 25], [34, 34], [45, 45], [48, 48], [55, 55], [63, 63], [72, 72], [75, 75], [84, 84], [91, 91], [102, 102], [106, 106], [115, 115], [133, 133]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
