,cluster_main_first_word,cluster_prelast_second_word,cluster_last_third_word,cosine_simil_first_sec,cosine_simil_sec_third,cosine_simil_first_third,min_cosine_sim,max_cosine_sim,joke_tokenized,id_joke
0,clown s,they,-,tensor(0.5479),0,0,0,0,[CLS] is it true that can ni bal s do not eat clown s because they taste funny ? [SEP],0
1,a man walking down the streets,i,the injured man,tensor(0.3702),tensor(0.4485),tensor(0.5697),tensor(0.3702),tensor(0.5697),"[CLS] a man walking down the streets sees another man with a very big dog . one man says to the other , "" does your dog bite "" , the man replies "" no my dog doesn ' t "" the man pat s the dog and has his hand bitten off , "" i thought you said your dog didn ' t bite "" said the injured man . "" that s not my dog "" , replied the other . [SEP]",3
2,another man with a very big dog,my,the other,tensor(0.2831),tensor(0.1712),tensor(0.2258),tensor(0.1712),tensor(0.2831),"[CLS] a man walking down the streets sees another man with a very big dog . one man says to the other , "" does your dog bite "" , the man replies "" no my dog doesn ' t "" the man pat s the dog and has his hand bitten off , "" i thought you said your dog didn ' t bite "" said the injured man . "" that s not my dog "" , replied the other . [SEP]",3
3,a very big dog,that,my dog,tensor(0.3935),tensor(0.3094),tensor(0.2702),tensor(0.2702),tensor(0.3935),"[CLS] a man walking down the streets sees another man with a very big dog . one man says to the other , "" does your dog bite "" , the man replies "" no my dog doesn ' t "" the man pat s the dog and has his hand bitten off , "" i thought you said your dog didn ' t bite "" said the injured man . "" that s not my dog "" , replied the other . [SEP]",3
4,a shopping trolley and a university vice chancellor,them both,-,tensor(0.5123),0,0,0,0,"[CLS] what is the difference between a shopping trolley and a university vice chancellor ? you fill them both up with as much food and alcohol you can , but it only the shopping trolley that has a mind of its own . [SEP]",4
5,a polar bear,the polar bear,-,tensor(0.6599),0,0,0,0,"[CLS] how do you catch a polar bear ? you cut a hole in the ice and you put peas all round the edge and when the polar bear comes along and stops for a pea , you kick it in the ice hole . [SEP]",5
6,a pea,it,-,tensor(0.5648),0,0,0,0,"[CLS] how do you catch a polar bear ? you cut a hole in the ice and you put peas all round the edge and when the polar bear comes along and stops for a pea , you kick it in the ice hole . [SEP]",5
7,a hole in the ice,the ice hole,-,tensor(0.5232),0,0,0,0,"[CLS] how do you catch a polar bear ? you cut a hole in the ice and you put peas all round the edge and when the polar bear comes along and stops for a pea , you kick it in the ice hole . [SEP]",5
8,three bud gies,"one on the top perch , one on the middle and one on the bottom perch",-,tensor(0.6649),0,0,0,0,"[CLS] three bud gies in a cage , one on the top perch , one on the middle and one on the bottom perch . which bud gie owns the cage ? the one on the bottom perch , the other two are on higher perch es . [SEP]",8
9,a cage,the cage,-,tensor(0.6170),0,0,0,0,"[CLS] three bud gies in a cage , one on the top perch , one on the middle and one on the bottom perch . which bud gie owns the cage ? the one on the bottom perch , the other two are on higher perch es . [SEP]",8
10,one on the bottom perch,the one on the bottom perch,-,tensor(0.8254),0,0,0,0,"[CLS] three bud gies in a cage , one on the top perch , one on the middle and one on the bottom perch . which bud gie owns the cage ? the one on the bottom perch , the other two are on higher perch es . [SEP]",8
11,the bottom perch,the bottom perch,-,tensor(0.6388),0,0,0,0,"[CLS] three bud gies in a cage , one on the top perch , one on the middle and one on the bottom perch . which bud gie owns the cage ? the one on the bottom perch , the other two are on higher perch es . [SEP]",8
12,an eight - year - old girl,the little girl,me,tensor(0.5687),tensor(0.4220),tensor(0.3291),tensor(0.3291),tensor(0.5687),"[CLS] an eight - year - old girl went to her dad , who was working in the yard . she asked him , "" daddy , what is sex ? "" the father was surprised that she would ask such a question , but decides that if she is old enough to ask the question , then she is old enough to get a straight answer . he proceeded to tell her all about the ' birds and the bees ' . when he finished explaining , the little girl was looking at him with her mouth hanging open . the father asked her , "" why did you ask this question ? "" the little girl replied , "" mom told me to tell you that dinner would be ready in just a couple of sec s . "" [SEP]",13
13,"her dad , who was working in the yard",the father,you,tensor(0.5119),tensor(0.2615),tensor(0.3468),tensor(0.2615),tensor(0.5119),"[CLS] an eight - year - old girl went to her dad , who was working in the yard . she asked him , "" daddy , what is sex ? "" the father was surprised that she would ask such a question , but decides that if she is old enough to ask the question , then she is old enough to get a straight answer . he proceeded to tell her all about the ' birds and the bees ' . when he finished explaining , the little girl was looking at him with her mouth hanging open . the father asked her , "" why did you ask this question ? "" the little girl replied , "" mom told me to tell you that dinner would be ready in just a couple of sec s . "" [SEP]",13
14,such a question,the question,this question,tensor(0.4939),tensor(0.3492),tensor(0.4614),tensor(0.3492),tensor(0.4939),"[CLS] an eight - year - old girl went to her dad , who was working in the yard . she asked him , "" daddy , what is sex ? "" the father was surprised that she would ask such a question , but decides that if she is old enough to ask the question , then she is old enough to get a straight answer . he proceeded to tell her all about the ' birds and the bees ' . when he finished explaining , the little girl was looking at him with her mouth hanging open . the father asked her , "" why did you ask this question ? "" the little girl replied , "" mom told me to tell you that dinner would be ready in just a couple of sec s . "" [SEP]",13
15,the ice - cream man,he,himself,tensor(0.4620),tensor(-0.0374),tensor(-0.0455),tensor(-0.0455),tensor(0.4620),"[CLS] did you hear about the ice - cream man , he was found dead in his ice - cream van , covered in chocolate sauce and hundreds - and - thousands ? the police said that he had topped himself . [SEP]",14
16,a clown,one clown,-,tensor(0.5004),0,0,0,0,"[CLS] two can ni bal s are sitting around eating a clown . one clown says to the other , "" does this taste funny to you ? "" [SEP]",16
17,the other,you,-,tensor(0.3884),0,0,0,0,"[CLS] two can ni bal s are sitting around eating a clown . one clown says to the other , "" does this taste funny to you ? "" [SEP]",16
18,a gin and tonic,the drink,it,tensor(0.4797),tensor(0.4444),tensor(0.3392),tensor(0.3392),tensor(0.4797),"[CLS] a piece of straight , clean string goes into a bar and orders a gin and tonic . the bar man serves the drink , the string downs it and walks out . ten minutes later a dirty , twisted , ragged piece of string walks into the bar . "" here - are you that piece of string that was here ten minutes ago ? "" asks the bar man - "" no "" replies the string "" i am a fray ed knot "" [SEP]",17
19,"a piece of straight , clean string",the string,that piece of string that was here ten minutes ago,tensor(0.5177),tensor(0.4966),tensor(0.6579),tensor(0.4966),tensor(0.6579),"[CLS] a piece of straight , clean string goes into a bar and orders a gin and tonic . the bar man serves the drink , the string downs it and walks out . ten minutes later a dirty , twisted , ragged piece of string walks into the bar . "" here - are you that piece of string that was here ten minutes ago ? "" asks the bar man - "" no "" replies the string "" i am a fray ed knot "" [SEP]",17
20,a bar,the bar,-,tensor(0.3742),0,0,0,0,"[CLS] a piece of straight , clean string goes into a bar and orders a gin and tonic . the bar man serves the drink , the string downs it and walks out . ten minutes later a dirty , twisted , ragged piece of string walks into the bar . "" here - are you that piece of string that was here ten minutes ago ? "" asks the bar man - "" no "" replies the string "" i am a fray ed knot "" [SEP]",17
